CO2,Humidity_in,Temp_in,Temp_out,Humidity_out,Wind Speed,y
1283.6,71.14,80.996,62,75,1.5,3
805.1,63.72,80.114,62,75,1.6,1
1165.3,60.53,79.7,58.1,75,2.2,2
842.9,56.49,79.07,58.8,75,3.3,1
3249.9,84.87,80.78,57.9,76,2.2,4
1872.7,70.16,80.348,57.4,77,1.8,3
2150.6,62.01,82.76,60.3,80,2.9,3
2282.9,64.76,81.14,58,80,1.7,3
880.3,49.78,79.412,51.1,81,3,1
1483.5,57.33,82.598,60.1,81,3.4,2
856.6,52.25,81.86,60.1,81,2.3,1
1397.5,59.76,80.96,58,81,3.3,2
895.2,54.9,80.348,58,81,2.9,1
3752.4,69.54,80.636,50.7,82,3.3,4
2852,66.28,80.582,50.7,82,3,3
1431,54.77,80.114,50.9,82,2.9,2
2003.4,73.03,80.996,56.5,82,4.5,4
1393.1,66.64,80.834,56.4,83,3.9,3
1045.2,62,80.078,56.6,83,4.4,2
855.5,58.98,79.376,56.5,83,5.1,1
1425.6,61.32,80.474,60.6,85,2.6,3
1096.5,59.47,80.114,60.9,85,3.6,2
849.7,58.08,79.862,60.9,85,3,1
1134.9,59.63,85.226,60.1,85,2.8,1
2506.5,65.74,80.744,60.6,86,3.6,4
1770.1,80.4,84.416,60.2,86,3.7,3
1208.1,74.41,83.372,60.2,86,5.4,2
909.7,70.24,82.436,60.2,86,4.3,1
1937.9,85.29,86.162,65.4,86,4.7,4
1232.4,74.17,85.676,65.1,86,3.9,3
2350.6,74.24,83.822,60.3,86,2.8,4
819.4,58.71,81.23,60.3,86,3.1,1
2607.6,69.88,85.982,65.3,87,4.7,3
2214,68.25,85.91,65.5,87,4.2,2
1159.1,62.42,85.406,65.4,87,5.3,1
823.9,57.77,81.932,58.6,87,4,1
2783.5,88.33,84.92,60,87,3.9,4
1012.3,69.55,84.614,64.8,87,3.6,2
